Example, Logits
source_class_0_target_class_1_example_1.txt, -0.46540766954421997,0.49227479100227356
class_0_example_2.txt, 2.0852019786834717,-1.5988954305648804
class_0_example_3.txt, 2.4541027545928955,-2.1437034606933594
class_0_example_4.txt, 1.0701969861984253,-0.6514233946800232
source_class_0_target_class_1_example_5.txt, -1.2909291982650757,1.0890315771102905
source_class_0_target_class_1_example_6.txt, -2.136029005050659,1.8179032802581787
class_0_example_7.txt, 2.2809033393859863,-1.900001049041748
class_0_example_8.txt, 0.6194756627082825,-0.32015854120254517
source_class_0_target_class_1_example_9.txt, -1.2331442832946777,1.1133781671524048
class_0_example_10.txt, 1.1422868967056274,-0.940321683883667
class_0_example_11.txt, 2.1062090396881104,-1.7660948038101196
source_class_0_target_class_1_example_12.txt, -0.9816016554832458,0.934346616268158
class_0_example_13.txt, 2.241821527481079,-1.9269585609436035
source_class_0_target_class_1_example_14.txt, -1.343621850013733,1.2081024646759033
class_0_example_15.txt, 1.8341161012649536,-1.4832956790924072
class_0_example_16.txt, 1.5575448274612427,-1.3173524141311646
class_0_example_17.txt, 0.7928662896156311,-0.5121812224388123
source_class_0_target_class_1_example_18.txt, -1.002376914024353,0.8328890204429626
class_0_example_19.txt, 0.8430861830711365,-0.5918163061141968
source_class_0_target_class_1_example_20.txt, -0.6645296812057495,0.666232705116272
